YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2019,ENG,311,8,10,SA,WON,LONDON,ENGLAND
,,334,9,8,PAK,LOST,NOTTINGHAM,
,,386,6,10,BAN,WON,CARDIFF,
,,231,2,10,WI,WON,SOUTHAMPTON,
,,397,6,8,AFG,WON,MANCHESTER ,
,,212,10,9,SL,LOST,LEEDS,
,,221,10,7,AUS,LOST,LONDON,
,,337,7,5,IND,WON,BIRMINGHAM,
,,305,8,10,NZ,WON,CHESTER-LE-STREET,
,,226,2,10,AUS,WON,BIRMINGHAM,
,,241,10,8,NZ,WON,LONDON,
,,,,,,,,
,SA,207,10,8,ENG,LOST,LONDON,
,,309,8,6,BAN,LOST,LONDON,
,,227,9,4,IND,LOST,SOUTHAMPTON,
,,NR,NR,NR,WI,NR,SOUTHAMPTON,
,,131,1,10,AFG,WON,CARDIFF,
,,241,6,6,NZ,LOST,BIRMINGHAM,
,,259,9,7,PAK,LOST,LONDON,
,,206,1,10,SL,WON,CHESTER-LE-STREET,
,,325,6,10,AUS,WON,MANCHESTER ,
,,,,,,,,
,WI,108,3,10,PAK,WON,NOTTINGHAM,
,,273,9,10,AUS,LOST,NOTTINGHAM,
,,NR,NR,NR,SA,NR,SOUTHAMPTON,
,,212,10,2,ENG,LOST,SOUTHAMPTON,
,,321,8,3,BAN,LOST,TAUNTON,
,,286,10,8,NZ,LOST,MANCHESTER ,
,,143,10,7,IND,LOST,MANCHESTER ,
,,315,9,6,SL,LOST,CHESTER-LE-STREET,
,,311,6,10,AFG,WON,LEEDS,
,,,,,,,,
,PAK,105,10,3,WI,LOST,NOTTINGHAM,
,,348,8,9,ENG,WON,NOTTINGHAM,
,,NR,NR,NR,SL,NR,BRISTOL,
,,266,10,10,AUS,LOST,TAUNTON,
,,212,6,5,IND,LOST,MANCHESTER ,
,,308,7,9,SA,WON,LONDON,
,,241,4,6,NZ,WON,BIRMINGHAM,
,,230,7,9,AFG,WON,LEEDS,
,,315,9,10,BAN,WON,LONDON,
,,,,,,,,
,NZ,137,0,10,SL,WON,CARDIFF,
,,248,8,10,BAN,WON,LONDON,
,,173,3,10,AFG,WON,TAUNTON,
,,NR,NR,NR,IND,NR,NOTTINGHAM,
,,245,6,6,SA,WON,BIRMINGHAM,
,,291,8,10,WI,WON,MANCHESTER ,
,,237,6,4,PAK,LOST,BIRMINGHAM,
,,157,10,9,AUS,LOST,LONDON,
,,186,10,8,ENG,LOST,CHESTER-LE-STREET,
,,239,8,10,IND,WON,MANCHESTER ,
,,241,8,10,ENG,LOST,LONDON,
,,,,,,,,
,SL,136,10,0,NZ,LOST,CARDIFF,
,,201,10,10,AFG,WON,CARDIFF,
,,NR,NR,NR,PAK,NR,BRISTOL,
,,NR,NR,NR,BAN,NR,BRISTOL,
,,247,10,7,AUS,LOST,LONDON,
,,232,9,10,ENG,WON,LEEDS,
,,203,10,1,SA,LOST,CHESTER-LE-STREET,
,,338,6,9,WI,WON,CHESTER-LE-STREET,
,,264,7,3,IND,LOST,LEEDS,
,,,,,,,,
,AFG,207,10,3,AUS,LOST,BRISTOL,
,,152,10,10,SL,LOST,CARDIFF,
,,172,10,3,NZ,LOST,TAUNTON,
,,125,10,1,SA,LOST,CARDIFF,
,,247,8,6,ENG,LOST,MANCHESTER ,
,,213,10,8,IND,LOST,SOUTHAMPTON,
,,200,10,7,BAN,LOST,SOUTHAMPTON,
,,227,9,7,PAK,LOST,LEEDS,
,,288,10,6,WI,LOST,LEEDS,
,,,,,,,,
,AUS,209,3,10,AFG,WON,BRISTOL,
,,288,10,9,WI,WON,NOTTINGHAM,
,,316,10,5,IND,LOST,LONDON,
,,307,10,10,PAK,WON,TAUNTON,
,,334,7,10,SL,WON,LONDON,
,,381,5,8,BAN,WON,NOTTINGHAM,
,,285,7,10,ENG,WON,LONDON,
,,243,9,10,NZ,WON,LONDON,
,,315,10,6,SA,LOST,MANCHESTER ,
,,223,10,2,ENG,LOST,BIRMINGHAM,
,,,,,,,,
,BAN,330,6,8,SA,WON,LONDON,
,,244,10,8,NZ,LOST,LONDON,
,,280,10,6,ENG,LOST,CARDIFF,
,,NR,NR,NR,SL,NR,BRISTOL,
,,322,3,8,WI,WON,TAUNTON,
,,333,5,8,AUS,LOST,NOTTINGHAM,
,,262,7,10,AFG,WON,SOUTHAMPTON,
,,286,10,9,IND,LOST,BIRMINGHAM,
,,221,10,9,PAK,LOST,LONDON,
,,,,,,,,
,IND,230,4,9,SA,WON,SOUTHAMPTON,
,,352,5,10,AUS,WON,LONDON,
,,NR,NR,NR,NZ,NR,NOTTINGHAM,
,,336,5,6,PAK,WON,MANCHESTER ,
,,224,8,10,AFG,WON,SOUTHAMPTON,
,,268,7,10,WI,WON,MANCHESTER ,
,,306,5,7,ENG,WON,BIRMINGHAM,
,,314,9,10,BAN,WON,BIRMINGHAM,
,,265,3,7,SL,WON,LEEDS,
,,221,10,8,NZ,LOST,MANCHESTER ,
